Transaction ID,Hop ID,Resource,Node,Execution Time (s)
0,0,students-5,node1,0.00012187499669380486
0,1,classes-101,node2,9.487499482929707e-05
0,2,status-5-101,node3,0.00010108400601893663
1,0,students-6,node1,2.7999994927085936e-05
1,1,professors-Baldi,node3,0.00012462498852983117
1,2,advisor-6-Baldi,node1,0.00018054099928122014
2,0,professors-504,node3,5.179201252758503e-05
2,1,advisor-4-504,node1,0.00010279200796503574
3,0,classes-102,node2,5.779099592473358e-05
3,1,students-7,node1,6.833299994468689e-05
4,0,students-3,node1,1.18750031106174e-05
4,1,classes-3,node2,0.0002270840050186962
4,0,students-3,node1,0.00011175000690855086
4,1,classes-3,node2,9.76250012172386e-05
